GTS 2020 ID,GTS 2012 ID,Sample,Locality,Lat-Long,Lithostratigraphy,Age (Ma),± 2s analytical,± 2s total,Age Type,Primary radioisotopic age details,Zonal range assignment/clade,Zonal range assignment/zonation,Zonal range assignment/zone,Biostratigraphy,Reference
Cb8,,bentonite; sample W1,"Yvoir or Anhee Nord locality, abandon quarry to the north of the village of Anhe ́e, Namur-Dinant Basin, Belgium","50o19.8'N, 4o53.5'E","Seiles/Maizeret Member, Grands Malades Fm",336.22,± 0.06,± 0.40,206Pb/238U,Seven of eight single zircon grain analyses (excluding one older grain) have a weighted mean 206Pb/238U age; utilizing CA-TIMS and the ET2535 spike.,fusulinid,NW Europe,top of the Eostafella porikensis - Archaediscus gigas Zone,"near the top of the MFZ12 foraminiferal zone, at the top of the Holkerian Substage of NW Europe and the Livian Substage of Belgium",Pointon et al. (2014)
Cb7,,Krasne Loueky tuffite,"Krasne  Loueky - Kobyl ı quarry, Krnov, Moravo-Silesian Basin, Czech Republic","50o7'13.08""N, 17o37'40.30""E",Brantice Member of the Horn ́ı Beneo ̈ov Fm near the transition to the Moravice Fm,340.05,± 0.10,± 0.41,206Pb/238U,Five of seven single zircon grain analyses (excluding two older grains) have a weighted mean 206Pb/238U age; utilizing CA-TIMS and the ET2535 spike.,fusulinid,NW Europe,Eostafella porikensis - Archaediscus gigas Zone,"Fossils from the Kobyli Quarry include Globoendothyra sp., Eostaffella sp., Archaediscus krestovnikovi Rauser, Archaediscus sp., Endothyra sp., Palaeotextulariidae indet.",Jira ́sek et al. (2014)
Cb6,Cb6,bentonite; C1ve2,"Sukhaya Volnovakha, Dokuchaevsk, Tsentral’nyi rudnik, east; Donets Basin","47.73oN, 37.6503oE","lower Stylskaya Fm, C1A9 lithostratigraphic index",342.01,± 0.19,± 0.41,206Pb/238U,"Weighted mean of 7 single zircon grain analyses, utilizing CA-TIMS and the ET535 spike.",fusulinid,NW Europe,base of the Eostafella porikensis - Archaediscus gigas Zone,"base C1ve2 biostratigraphic zone of Donets Basin; correlative with the MFZ12 foraminiferal zone, at the base of the Holkerian Substage of NW Europe and the Livian Substage of Belgium",Davydov et al. (2010)
Cb5,Cb5,bentonite; C1vc,"Sukhaya Volnovakha, Dokuchaevsk, Tsentral’nyi rudnik, east; Donets Basin","47.72oN, 37.6502oE","Skelevatskaya Fm, C1A8 lithostratigraphic index",345,± 0.18,± 0.41,206Pb/238U,"Weighted mean of 6 single zircon grain analyses, utilizing CA-TIMS and the ET535 spike.",fusulinid,NW Europe,Uralodiscus rotundus Zone,upper C1vc biostratigraphic zone of Donets Basin; correlative with the base of the MFZ10 foraminiferal zone of Western Europe,Davydov et al. (2010)
Cb4,Cb4,bentonite; 3/2002,"Sukhaya Volnovakha, Dokuchaevsk, Tsentral’nyi rudnik, east; Donets Basin","47.73oN, 37.6503oE","Skelevatskaya Fm, C1A8 lithostratigraphic index",345.17,± 0.18,± 0.41,206Pb/238U,"Weighted mean of 6 single zircon grain analyses, utilizing CA-TIMS and the ET535 spike.",fusulinid,NW Europe,Uralodiscus rotundus Zone,middle C1vc biostratigraphic zone of Donets Basin; correlative with the base of the MFZ10 foraminiferal zone of Western Europe,Davydov et al. (2010)
Cb3,Cb3,bentonite; 5/2002,"Volnovakha River, right bank, near Businova Ravine, Donets Basin, Ukraine","47.6398oN, 37.8926oE","Upper member, Karakubskaya Fm, C1A4 lithostratigraphic index",357.26,± 0.19,± 0.42,206Pb/238U,"Weighted mean of 8 single zircon grain analyses, utilizing CA-TIMS and the ET535 spike.",fusulinid,NW Europe,Prochernyshinella disputabilis - Tournayellina beata Zone,"base of C1tb2 biostratigraphic zone of Donets Basin; equivalent to lower Cherepetian Horizon of the eastern Russian Platform, and the MFZ3 foraminiferal zone of Western Europe",Davydov et al. (2010)
Cb2,Cb2,bentonite (a2); sample DT-13,"Apricke section, Ruhr Basin, Nordrhein-Westfalen, Germany.","~50oN, 8oE","Bed 15, Hangenberg Limestone, equivalent to Bed 70 in Hasselbachtal section",358.43,± 0.19,± 0.42,206Pb/238U,"Weighted mean of 18 single zircon grain analyses, utilizing CA-TIMS and the ET535 and 2535 spikes.",conodont,Boreal,Lower Siphonodella duplicata Zone,"Lower part of S. duplicata conodont zone, lower Tournaisian",Davydov et al. (2011)
Cb1,Cb1,bentonite (a2); Bed 79,"Hasselbachtal section, Ruhr Basin, Nordrhein-Westfalen, Germany.","~50.3oN, 8.3oE","Bed 79, Hangenberg Limestone",358.71,± 0.19,± 0.42,206Pb/238U,"Weighted mean of 9 single zircon grain analyses, utilizing CA-TIMS and the ET2535 spike.",conodont,Boreal,Upper Siphonodella sulcata Zone,"Upper part of S. (Eos.) sulcata conodont zone, basal Tournaisian",Davydov et al. (2011)
D27,,bentonite; sample A2KQ-2,"Kowala Quarry, Holy Cross Mountains, 10 km southwest of Kielce, Poland","50o47'49.1""N, 20o33'55.9""E","Hangenberg Limestone, 30 cm above top of the Hangenberg Black Shale",358.89,± 0.20,± 0.48,206Pb/238U,Five of six single zircon grain analyses have a weighted mean 206Pb/238U age; utilizing CA-TIMS and the ET535 spike.,conodont ,NW Europe,middle/upper costatus- kockeli Interregnum conodont zone,"Above the Hangenberg Black Shale, B2 m below the Devonian-Carboniferous boundary. Had been assigned as kockeli Zone (5new name for Upper praesulcata Zone) at Kowala; re-assigned as middle/upper costatus - kockeli Interregnum (Becker et al., 2020, this volume)",Myrow et al. (2014)
D26,,bentonite; sample A2KQ-1,"Kowala Quarry, Holy Cross Mountains, 10 km southwest of Kielce, Poland","50o47'49.1""N, 20o33'55.9""E",Wocklum Limestone. 20 cm below the base of the Hangenberg Black Shale,358.97,± 0.11,± 0.43,206Pb/238U,Six of seven single zircon grain analyses have a weighted mean 206Pb/238U age; utilizing CA-TIMS and the ET535 spike.,conodont ,NW Europe,Upper Siphonodella praesulcata Zone,"Below the Hangenberg Black Shale, B3.5 m below the Devonian-Carboniferous boundary. “Unfortunately, the D/C conodont stratigraphy of Kowala has not yet been fully investigated. Both lower ash beds fall in the upper part of revised S. (Eos.) praesulcata Zone, and in the higher Wocklumeria sphaeroides Zone (UD VI-D) of the ammonoid zonation.” (Becker et al., 2020, this volume)",Myrow et al. (2014)
D25,D18,bentonite (w3); sample DT-12,"Apricke section, Ruhr Basin, Nordrhein-Westfalen, Germany.","~50oN, 8oE","Wocklum Limestone, equivalent to Bed 87 in Hasselbachtal section",359.25,± 0.18,± 0.42,206Pb/238U,"Weighted mean of 13 single zircon grain analyses, utilizing CA-TIMS and the ET535 and 2535 spikes.",conodont ,NW Europe,Upper Siphonodella praesulcata Zone,. . .“. . .“. . . . . .”,Davydov et al. (2011)
D24,D17,black shale,"Jura Creek, Exshaw, Alberta, Canada","51o04'N, 115o10'W",Exshaw Fm,361.3,± 2.10,± 2.40,Re-Os,"Isochron age for six samples collected over a 4 m thick interval spanning the Devonian-Carboniferous boundary, processed with CrO3-H2SO4 dissolution",conodont,North America,centered at lower part of revised S. praesulcata,"Interval between the middle Palmatolepis expansa through upper Siphonodella duplicata zones. “the Re-Os date comes from an interval stretching from the higher Bi. costatus Subzone to the basal costatus-kockeli-Interregnum (ckI) sensu Kaiser et al. (2009) (below the Hangenberg Regression).” (Becker et al., 2020, this volume)",Selby and Creaser (2005)
D23,D14,pumice tuff,"Caldera complex, southern New Brunswick, Canada","~46oN, 66oW","Bailey Rock Rhyolite, which intrudes and overlies the Carrow Fm",362.87,± 0.88,± 0.96,206Pb/238U,Five multigrain zircon analyses yield a weighted mean 206Pb/238U age (sample above or crosscutting spore- bearing bed),conodont,North America,uppermost Palmatolepis marginifera to upper Palmatolepis expansa zones,"Spore-bearing horizon between the Bailey Rock rhyolite and Carrow Fm pumiceous tuff falls within the pusillites-lepidophyta spore zone (FA2d), equivalent to the uppermost Palmatolepis marginifera to upper Palmatolepis expansa conodont zones (Streel, 2000) [assigned as middle/upper Bi. costatus conodont subzone in revised zonal scheme]",Tucker et al. (1998)
D22,D13,pumice tuff,"Caldera complex, southern New Brunswick, Canada","~46oN, 66oW","Carrow Fm pumiceous tuff, Piskahegan Group",364.08,± 2.22,± 2.25,206Pb/238U,Four multigrain zircon analyses yield a weighted mean 206Pb/238U age (95% conf. int. including geologic scatter; sample below spore-bearing bed),conodont,North America,uppermost Palmatolepis marginifera to upper Palmatolepis expansa zones,. . .“. . .. . .”. . .. . .”,Tucker et al. (1998)
D21,D12,WVC754; black shale (0.4% - 4% TOC),"Cattaraugus County, western New York, USA","~42oN, 79oW","Dunkirk Fm, B6.4 m above F-F boundary",367.7,± 2.50,± 2.80,Re-Os,"Isochron age for nine samples collected from drillcore, processed with CrO3-H2SO4 dissolution",conodont,North America,"Palmatolepis triangularis Zone","Palmatolepis triangularis conodont zone, B6.4 m above F-F boundary. Equvalent to “the Pa. delicatula platys Zone, which replaced terminologically the former Middle subzone of Pa. triangularis Zone” (Becker et al., 2020, this volume)",Turgeon et al. (2007)
D20,D11,WVC785; black shale (0.4% - 4% TOC),"Cattaraugus County, western New York, USA","~42oN, 79oW","Hanover Fm, B2.9 m below F-F boundary",374.2,± 4.00,± 4.20,Re-Os,"Isochron age for eight samples collected from drillcore, processed with CrO3-H2SO4 dissolution.",conodont,North America,Palmatolepis linguiformus Zone (MN 13b),"Palmatolepis linguiformus conodont biozone, upper Frasnian Stage; B2.9 m below F-F boundary. “A position of D20 within the lower part of the Pa. linguiformis Zone (MN Zone 13b) is accepted with some reservation” (Becker et al., 2020, this volume)",Turgeon et al. (2007)
D19,D10,bentonite; Bed 36,"Steinbruch Schmidt quarry, Kellerwald, Germany","~51oN, 9oE?",Kellwasser Horizons,372.36,± 0.05,± 0.41,206Pb/238U,Eight of eleven single zircon grain analyses have a weighted mean 206Pb/238U age; utilizing CA-TIMS and the ET2535 spike.,conodont,NW Europe,middle Palmatolepis bogartensis Zone (MN 13a),"Bed 36 bentonite occurs in the middle part of the late Palmatolepis rhenana conodont Zone, Upper Frasnian; 2.5 m below the F-F boundary. “middle part of the Pa. bogartensis Zone or MN Zone 13a (middle part of the Upper rhenana Zone sensu Ziegler and Sandberg 1990).” (Becker et al., 2020, this volume)",Percival et al. (2018)
D18,,bentonite; “Tephra 7.67” (EMC-7.67 m),"Eighteenmile Creek, Erie County, NY, USA; 7.67 m above base of the Rhinestreet Shale","43.3oN, 78.7oW","Rhinestreet Fm, West Falls Group",375.14,± 0.12,± 0.45,206Pb/238U,Six of six single zircon grain analyses have a weighted mean 206Pb/238U age; utilizing CA-TIMS and the ET535 spike.,conodont,North America,upper “Ozarkodina” nonaginta Zone (upper MN 7),"Occurrence of “Ozarkodina” nonaginta indicates the base of FZ 7 at or near the base of the Rhinestreet Formation, where it occurs in association with Ag. ancyrogna thoideus and Ag. primus, which do not range above FZ 7 (5 lowermost subzone of Palmatolepis hassi conodont zone)",Lanik et al. (2016)
D17,,bentonite; “Tephra 06” (LWG Ash-6),"Little War Gap, East Tennessee, USA","36.5oN, 83.0oW","Belpre Tephra Suite, Lower Dowelltown Member, Chattanooga Shale Fm",375.25,± 0.13,± 0.45,206Pb/238U,Six of nine single zircon grain analyses have a weighted mean 206Pb/238U age; utilizing CA-TIMS and the ET535 spike.,conodont,North America,Palmatolepis housei Zone [MN 8],"Enclosing strata contain Ad. nodosa and Pa. punctata, which range from FZ 5 through FZ 9 in the lowermost Dowelltown Member; overlying strata contain Ag. barba and Pa. housei that are restricted to FZ 8 (5 second subzone of Palmatolepis hassi conodont zone)",Lanik et al. (2016)
D16,D9,bentonite; “Tephra 01” (LWG Ash-1),"Little War Gap, East Tennessee, USA","36.5oN, 83.0oW","Belpre Tephra Suite, Lower Dowelltown Member, Chattanooga Shale Fm",375.55,± 0.10,± 0.44,206Pb/238U,Seven of fifteen single zircon grain analyses have a weighted mean 206Pb/238U age; utilizing CA-TIMS and the ET535 spike.,conodont,North America,Palmatolepis housei Zone [MN 8],"Enclosing strata contain Ad. nodosa and Pa. punctata, which range from FZ 5 through FZ 9 in the lowermost Dowelltown Member, and are overlain by strata containing Ag. barba and Pa. housei that are restricted to FZ 8 (5 second subzone of Palmatolepis hassi zone)",Lanik et al. (2016)
D15,,Tioga Ash Bed F,"Seneca Stone Quarry, Seneca Falls, New York, USA","42o51.30'N, 76o47.20'W",Near base of the Union Springs Fm of the Marcellus Subgroup,390.14,± 0.14,± 0.47,206Pb/238U,"Eight of ten single zircon grain analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 and 2535 spikes.",conodont,North America,Polygnathus costatus Zone,"All Tioga ashes are between conodont bearing strata of the Polygnathus costatus zone, middle Eifelian.",Harrigan et al. (in review)
D14,,Tioga Ash Bed B,"Seneca Stone Quarry, Seneca Falls, New York, USA","42o51.30'N, 76o47.20'W",Contact between Moorehouse and Seneca Members of the Onendaga Fm,390.82,± 0.18,± 0.48,206Pb/238U,"Seven of eleven single zircon grain analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 and 2535 spikes.",conodont,North America,Polygnathus costatus Zone,"All Tioga ashes are between conodont bearing strata of the Polygnathus costatus zone, middle Eifelian.",Harrigan et al. (in review)
D13,D6,"Hercules I K-bentonite, sample 12VD-80","Wetteldorf section, Scho ̈necken, Germany","50o10'N, 6o27'E",Heisdorf Fm,394.29,± 0.10,± 0.47,206Pb/238U,"Nine single zircon grain analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 and 2535 spikes.",conodont,NW Europe,uppermost Polygnathus patulus Zone,"Uppermost part of the Polygnathus patulus conodont zone, uppermost Emsian. The “Hercules I” K-bentonite is situated 13 m below the formal boundary of the Lower and Middle Devonian (GSSP section).",Harrigan et al. (in review)
D12,D5,Volcanic layer,"Hans-Platte layer, Eschenbach quarry, Bundenbach (Hunsru ̈ck), Germany","0oN, 0oW",Lower Hunsruck Slate ,407.75,± 1.08,± 1.16,206Pb/238U,"Ten single zircon analyses include five results, which form a tightly grouped cluster and weighted mean 206Pb/238U age.",conodont,NW Europe,lower Eol. gronbergi Zone,Tentaculites (dacryoconarids) allow a biostratigraphic assignment to the upper part of the Nowakia zlıchovensis dacryoconarid zone.,Kaufmann et al. (2005)
D11,D3,"volcaniclastic sandstone, sample 94843525","Cheshire Creek, Limekilns District, Hill End Trough, Eastern Lachlan Orogen, eastern Australia","33o15'20""S, 149o41'54""E",Merrions Fm,411.7,± 0.90,± 1.20,206Pb/238U,"Four of six single zircon grain analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and an in-house spike.",dacryo-canarid,Australasian,Nowakia acuaria Zone,"Devoid of fossils; but the Pragian dacryoconarid index, Nowakia acuaria, and the brachiopod Nadiastropha (sensu stricto) appear in the overlying Limekilns Fm [N. acuaria spans ca. base-Pragian through kitabicus conodont zone].",Bodorkos et al. (2017); Jagodzinski and Black (1999)
D10,,Milton of Noth Andesite,"Rhynie Outlier, NE Scotland","57o20'38""N, 02o49'31""W",Tillybrachty Sandstone and Dryden Flags Fms,411.5,± 1.10,± 1.30,206Pb/238U,Four air- or chemically abraded zircon fractions yield and equivalent data combined into a weighted mean 206Pb/238U age; in-house EARTHTIME-calibrated spike.,palyno-morph,NW Europe,polygonalis-emsiensis Spore Assemblage Biozone 5 profunda through excavatus s.str. conodont zones,"Spore assemblages indicate an early (but not earliest) Pragian to earliest Emsian zonal assignment. This biostratigraphical age range is potentially further constrained by the presence of Dictyotriletes subgranifer (Wellman 2006), indicating a latest Pragian to (?) earliest Emsian age.",Parry et al. (2011)
D9,D2,"crystal rich volcaniclastic sandstone, sample 94843520","Hill End Trough, Eastern Lachlan Orogen, eastern Australia","33o03'50""S, 149o37'43""E",Turondale Fm,415.6,± 0.50,± 0.80,206Pb/238U,"Six of six single zircon grain analyses combined to procude a weighted mean 206Pb/238U age, utilizing CA-TIMS and an in-house spike.",conodont,Australasian,eurekaensis (=postwoschmidti) through lower delta (= through transistans) zones,"Faunal assemblage assigned to the early Lochkovian Boucotia australis brachiopod zone (Garratt and Wright, 1989), itself correlated with the eurekaensis conodont zone by Mawson et al. (1989).",Bodorkos et al. (2017); Jagodzinski and Black (1999)
D8,,"felsic volcanic, sample 93844562B","Cowra Trough, Eastern Lachlan Orogen, eastern Australia","33o04'09""S, 149o36'06""E",Bulls Camp Volcanics,417.7,± 0.50,± 0.80,206Pb/238U,"Three of five single zircon grain analyses combined to procude a weighted mean 206Pb/238U age, utilizing CA-TIMS and an in-house spike.",conodont,Australasian,"woschmidti (= hesperius) through eurekaensis (= postwoschmidti) Zone","Bulls Camp Volcanics conformably overlie shales containing FOD of Late Silurian Monograptus cf uniformis, and “overlain by latitic volcanic rocks devoid of fossils (but which elsewhere overlie conodont-bearing limestones of the woschmidti to eurekaensis zones) . . . indicate a woschmidti to eurekaensis Zone age for the Bulls Camp Volcanics.”",Bodorkos et al. (2017); Jagodzinski and Black (1999)
D7,,"K-bentonite, sample H5- 1","Smoke Hole section, eastern West Virginia, USA; 84.9 mab","38.82257oN, 79.28615oW",lower Corriganville Limestone Fm of the Helderberg Group,417.22,± 0.21,± 0.50,206Pb/238U,"Youngest precise analysis of eight single grain zircon analyses, utilizing CA-TIMS and the ET535 spike.",conodont,North America,L. omoalpha through A. trigonicus zones,"above the LOD of O. elegans detortus and the FOD of I. woschmidti woschmidti, and immediately above the Klonk CIE, indicating a position in the late Middle Lochkovian.",Husson et al. (2016)
D6,D1,"Kalkberg’ K-bentonite (KKB), sample CV-2; also referenced as Judds Falls Bentonite Bed","US Highway 20, W of Judds Falls, northeast of Cherry Valley, eastern NY, USA; 2.40*2.45 mab","42o49'19""N, 74o43'43""W","Historically described as the Kalkberg Fm, but now interpreted as the New Scotland Fm of the Helderberg Group",417.61,± 0.12,± 0.50,206Pb/238U,"Six of eight single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",conodont,North America,L. omoalpha through A. trigonicus zones,"Conodonts Wurmiella excavata and Ozarkodina planilingua at 1.75*1.85 mab, Ancyrodelloides sp. at 2.35*2.40 mab, and Pseudooneotodus sp. at 2.45-2.55 mab indicate a position no lower than the base of the Caudicriodus postwoschmidti Zone and no higher than the upper part of the Ancyrodelloides trigonicus Zone.",McAdams et al. (2017)
D5,D1,"Kalkberg’ K-bentonite (KKB), sample H1-1","US Highway 20, northeast of Cherry Valley, eastern NY, USA; 44.1 mab","42o49'N, 74o44'W","Historically described as the Kalkberg Fm, but now interpreted as the New Scotland Fm of the Helderberg Group",417.68,± 0.21,± 0.52,206Pb/238U,"Youngest precise analysis of eight single grain zircon analyses, utilizing CA-TIMS and the ET535 spike.",conodont,North America,L. omoalpha through A. trigonicus zones,Correlation to regional sections indicate a position a position no lower than the base of the Caudicriodus postwoschmidti Zone and no higher than the upper part of the Ancyrodelloides trigonicus Zone.,Husson et al. (2016)
D4,,"K-bentonite, sample H2- 4","Cobleskill, eastern NY, USA; 18.4 mab","~42.5oN, 72.5oW","Historically described as the Kalkberg Fm, but now interpreted as the New Scotland Fm of the Helderberg Group",417.56,± 0.20,± 0.51,206Pb/238U,"Youngest precise analysis of eight single grain zircon analyses, utilizing CA-TIMS and the ET535 spike.",conodont,North America,L. omoalpha through A. trigonicus zones,Correlation to regional sections indicate a position a position no lower than the base of the Caudicriodus postwoschmidti Zone and no higher than the upper part of the Ancyrodelloides trigonicus Zone.,Husson et al. (2016)
D3,,"K-bentonite, sample H2- 3 ","Cobleskill, eastern NY, USA; 15.1 mab","~42.5oN, 72.5oW","Historically described as the Kalkberg Fm, but now interpreted as the New Scotland Fm of the Helderberg Group",417.73,± 0.22,± 0.53,206Pb/238U,"Youngest precise analysis of eight single grain zircon analyses, utilizing CA-TIMS and the ET535 spike.",conodont,North America,L. omoalpha through A. trigonicus zones,Correlation to regional sections indicate a position a position no lower than the base of the Caudicriodus postwoschmidti Zone and no higher than the upper part of the Ancyrodelloides trigonicus Zone.,Husson et al. (2016)
D2,,"K-bentonite, sample H2- 2","Cobleskill, eastern NY, USA; 12.5 mab","~42.5oN, 72.5oW","Historically described as the Kalkberg Fm, but now interpreted as the New Scotland Fm of the Helderberg Group",417.85,± 0.23,± 0.54,206Pb/238U,"Youngest precise analysis of eight single grain zircon analyses, utilizing CA-TIMS and the ET535 spike.",conodont,North America,L. omoalpha through A. trigonicus zones,Correlation to regional sections indicate a position a position no lower than the base of the Caudicriodus postwoschmidti Zone and no higher than the upper part of the Ancyrodelloides trigonicus Zone.,Husson et al. (2016)
D1,,"K-bentonite, sample H2- 1","Cobleskill, eastern NY, USA; 9.0 mab","~42.5oN, 72.5oW","Historically described as the Kalkberg Fm, but now interpreted as the New Scotland Fm of the Helderberg Group",418.42,± 0.21,± 0.53,206Pb/238U,"Youngest precise analysis of eight single grain zircon analyses, utilizing CA-TIMS and the ET535 spike.",conodont,North America,L. omoalpha through A. trigonicus zones,Correlation to regional sections indicate a position a position no lower than the base of the Caudicriodus postwoschmidti Zone and no higher than the upper part of the Ancyrodelloides trigonicus Zone.,Husson et al. (2016)
S8,,C6 bentonite,"Ataky 117 section, Khotyn, Podolia, southwestern Ukraine","48o32.5'N, 26o28.8'E",top of the Pryhorodok Fm,422.91,± 0.07,± 0.49,206Pb/238U,"Eight of eight single grain zircon analyses have a weighted mean 206Pb/238U age, utilizing CA-TIMS and the ET535 spike.",graptolite/ conodont,,Upper Uncinatograpus spineus -  Pseudomonoclimacis latilobus Zone; upper Ozarkodina crispa Zone,Middle Ozarkodina remscheidensis baccata/Ozarkodina snajdri parasnajdri Polodian conodont zone places interval in the upper global Ozarkodina crispa conodont zone and upper Baltic Uncinatograpus spineus*Pseudomonoclimacis latilobus graptolite zone.,Cramer et al. (2015)
